iteration 54000, accuracy:0.4234620886981402, max accuracy:0.45350500715307585, loss:420.6927185058594, min Loss:407.2816467285156
iteration 55000, accuracy:0.36909871244635195, max accuracy:0.45350500715307585, loss:407.8513488769531, min Loss:403.1841125488281
iteration 56000, accuracy:0.3977110157367668, max accuracy:0.45350500715307585, loss:410.0537109375, min Loss:398.743408203125
iteration 57000, accuracy:0.3590844062947067, max accuracy:0.45350500715307585, loss:402.77349853515625, min Loss:394.2344665527344
iteration 58000, accuracy:0.34620886981402005, max accuracy:0.45350500715307585, loss:424.6460876464844, min Loss:390.7803649902344
iteration 59000, accuracy:0.34334763948497854, max accuracy:0.45350500715307585, loss:409.88836669921875, min Loss:386.2762756347656
iteration 60000, accuracy:0.4363376251788269, max accuracy:0.45350500715307585, loss:394.6522521972656, min Loss:382.9134216308594
iteration 61000, accuracy:0.45350500715307585, max accuracy:0.45350500715307585, loss:381.59979248046875, min Loss:379.716552734375
iteration 62000, accuracy:0.4248927038626609, max accuracy:0.45350500715307585, loss:401.32806396484375, min Loss:377.3377990722656
iteration 63000, accuracy:0.41487839771101576, max accuracy:0.45350500715307585, loss:383.73052978515625, min Loss:374.3661193847656
iteration 64000, accuracy:0.3948497854077253, max accuracy:0.45350500715307585, loss:386.2154846191406, min Loss:369.9557189941406
iteration 65000, accuracy:0.40486409155937053, max accuracy:0.45350500715307585, loss:371.97711181640625, min Loss:368.2820739746094
iteration 66000, accuracy:0.4434907010014306, max accuracy:0.45350500715307585, loss:377.9027404785156, min Loss:364.7125244140625
iteration 67000, accuracy:0.38197424892703863, max accuracy:0.45350500715307585, loss:413.3300476074219, min Loss:362.7516174316406
iteration 68000, accuracy:0.474964234620887, max accuracy:0.474964234620887, loss:362.9603576660156, min Loss:359.60943603515625
iteration 69000, accuracy:0.43776824034334766, max accuracy:0.474964234620887, loss:360.9685974121094, min Loss:357.4584655761719
iteration 70000, accuracy:0.45064377682403434, max accuracy:0.474964234620887, loss:357.5858154296875, min Loss:355.0286865234375
iteration 71000, accuracy:0.45493562231759654, max accuracy:0.474964234620887, loss:368.6553039550781, min Loss:353.2978210449219
iteration 72000, accuracy:0.4520743919885551, max accuracy:0.474964234620887, loss:352.2537536621094, min Loss:350.36602783203125
iteration 73000, accuracy:0.3648068669527897, max accuracy:0.474964234620887, loss:378.72052001953125, min Loss:348.0198059082031
iteration 74000, accuracy:0.44206008583690987, max accuracy:0.474964234620887, loss:364.2937316894531, min Loss:345.78143310546875
iteration 75000, accuracy:0.4220314735336195, max accuracy:0.474964234620887, loss:365.6012268066406, min Loss:342.8780517578125
iteration 76000, accuracy:0.4492131616595136, max accuracy:0.474964234620887, loss:345.1076965332031, min Loss:340.2219543457031
iteration 77000, accuracy:0.3605150214592275, max accuracy:0.474964234620887, loss:364.8985595703125, min Loss:337.73870849609375
iteration 78000, accuracy:0.46494992846924177, max accuracy:0.474964234620887, loss:344.578857421875, min Loss:335.9814758300781
iteration 79000, accuracy:0.37052932761087265, max accuracy:0.474964234620887, loss:341.63568115234375, min Loss:333.6543884277344
iteration 80000, accuracy:0.46208869814020026, max accuracy:0.474964234620887, loss:352.8584899902344, min Loss:329.8479309082031
iteration 81000, accuracy:0.44778254649499283, max accuracy:0.474964234620887, loss:341.7114562988281, min Loss:326.7953796386719
iteration 82000, accuracy:0.38626609442060084, max accuracy:0.474964234620887, loss:335.9324035644531, min Loss:325.5370178222656
iteration 83000, accuracy:0.38483547925608014, max accuracy:0.474964234620887, loss:329.99639892578125, min Loss:322.2666320800781
iteration 84000, accuracy:0.3905579399141631, max accuracy:0.474964234620887, loss:326.6033935546875, min Loss:320.21636962890625
iteration 85000, accuracy:0.4291845493562232, max accuracy:0.474964234620887, loss:392.4609069824219, min Loss:317.77545166015625
iteration 86000, accuracy:0.413447782546495, max accuracy:0.474964234620887, loss:346.9870910644531, min Loss:316.435302734375
iteration 87000, accuracy:0.4592274678111588, max accuracy:0.474964234620887, loss:318.3111267089844, min Loss:314.22454833984375
iteration 88000, accuracy:0.4492131616595136, max accuracy:0.474964234620887, loss:375.7138977050781, min Loss:311.7651672363281
iteration 89000, accuracy:0.3834048640915594, max accuracy:0.474964234620887, loss:321.7939453125, min Loss:309.9518737792969
iteration 90000, accuracy:0.4721030042918455, max accuracy:0.474964234620887, loss:307.70782470703125, min Loss:307.6265869140625
iteration 91000, accuracy:0.45493562231759654, max accuracy:0.474964234620887, loss:311.52410888671875, min Loss:305.7778015136719
iteration 92000, accuracy:0.37339055793991416, max accuracy:0.474964234620887, loss:327.3669738769531, min Loss:303.1069641113281
iteration 93000, accuracy:0.45493562231759654, max accuracy:0.474964234620887, loss:310.1664733886719, min Loss:302.3581237792969
iteration 94000, accuracy:0.37339055793991416, max accuracy:0.474964234620887, loss:318.1216125488281, min Loss:299.857666015625
iteration 95000, accuracy:0.34763948497854075, max accuracy:0.474964234620887, loss:316.02496337890625, min Loss:299.144287109375
iteration 96000, accuracy:0.43919885550786836, max accuracy:0.474964234620887, loss:302.8943176269531, min Loss:296.5270080566406
iteration 97000, accuracy:0.46924177396280403, max accuracy:0.474964234620887, loss:295.1965637207031, min Loss:295.1369934082031
iteration 98000, accuracy:0.4234620886981402, max accuracy:0.474964234620887, loss:323.8052673339844, min Loss:293.3750915527344
iteration 99000, accuracy:0.43776824034334766, max accuracy:0.474964234620887, loss:323.6651916503906, min Loss:291.8638610839844
iteration 100000, accuracy:0.47353361945636624, max accuracy:0.474964234620887, loss:290.4117431640625, min Loss:290.4117431640625
iteration 101000, accuracy:0.41487839771101576, max accuracy:0.474964234620887, loss:311.0849304199219, min Loss:288.5493469238281
iteration 102000, accuracy:0.4334763948497854, max accuracy:0.474964234620887, loss:292.6765441894531, min Loss:286.4067687988281
iteration 103000, accuracy:0.4592274678111588, max accuracy:0.474964234620887, loss:317.95574951171875, min Loss:285.23956298828125
iteration 104000, accuracy:0.42775393419170243, max accuracy:0.474964234620887, loss:306.29547119140625, min Loss:284.0864562988281
iteration 105000, accuracy:0.39198855507868385, max accuracy:0.474964234620887, loss:292.3360900878906, min Loss:282.0404052734375
iteration 106000, accuracy:0.4334763948497854, max accuracy:0.474964234620887, loss:298.5670166015625, min Loss:281.5733337402344
iteration 107000, accuracy:0.4520743919885551, max accuracy:0.474964234620887, loss:285.1619873046875, min Loss:279.7299499511719
iteration 108000, accuracy:0.44778254649499283, max accuracy:0.474964234620887, loss:289.4975891113281, min Loss:278.09674072265625
iteration 109000, accuracy:0.46065808297567956, max accuracy:0.474964234620887, loss:280.9239196777344, min Loss:275.336669921875
iteration 110000, accuracy:0.38483547925608014, max accuracy:0.474964234620887, loss:282.05322265625, min Loss:273.5553283691406
iteration 111000, accuracy:0.3648068669527897, max accuracy:0.474964234620887, loss:306.5626220703125, min Loss:272.941650390625
iteration 112000, accuracy:0.46494992846924177, max accuracy:0.474964234620887, loss:285.719970703125, min Loss:270.9085388183594
iteration 113000, accuracy:0.463519313304721, max accuracy:0.474964234620887, loss:273.3709716796875, min Loss:269.5873718261719
iteration 114000, accuracy:0.41917024320457796, max accuracy:0.474964234620887, loss:296.2485046386719, min Loss:268.42401123046875
iteration 115000, accuracy:0.4291845493562232, max accuracy:0.474964234620887, loss:289.3742980957031, min Loss:267.1585693359375
iteration 116000, accuracy:0.41917024320457796, max accuracy:0.474964234620887, loss:278.93621826171875, min Loss:266.06329345703125
iteration 117000, accuracy:0.39628040057224606, max accuracy:0.474964234620887, loss:284.0526428222656, min Loss:264.35986328125
iteration 118000, accuracy:0.43061516452074394, max accuracy:0.474964234620887, loss:272.3122863769531, min Loss:262.7117614746094
iteration 119000, accuracy:0.4592274678111588, max accuracy:0.474964234620887, loss:267.6062927246094, min Loss:261.19049072265625
iteration 120000, accuracy:0.43776824034334766, max accuracy:0.474964234620887, loss:270.441162109375, min Loss:260.76361083984375
iteration 121000, accuracy:0.4248927038626609, max accuracy:0.474964234620887, loss:270.4572448730469, min Loss:258.55877685546875
iteration 122000, accuracy:0.43204577968526464, max accuracy:0.474964234620887, loss:261.7864074707031, min Loss:257.64019775390625
iteration 123000, accuracy:0.39198855507868385, max accuracy:0.474964234620887, loss:277.1166687011719, min Loss:256.3160095214844
iteration 124000, accuracy:0.44206008583690987, max accuracy:0.474964234620887, loss:261.3985900878906, min Loss:254.80409240722656
iteration 125000, accuracy:0.4177396280400572, max accuracy:0.474964234620887, loss:273.3985595703125, min Loss:253.7849578857422
iteration 126000, accuracy:0.3676680972818312, max accuracy:0.474964234620887, loss:327.56134033203125, min Loss:252.71878051757812
iteration 127000, accuracy:0.39628040057224606, max accuracy:0.474964234620887, loss:260.31622314453125, min Loss:251.98544311523438
iteration 128000, accuracy:0.48783977110157367, max accuracy:0.48783977110157367, loss:252.53802490234375, min Loss:250.7566680908203
iteration 129000, accuracy:0.45350500715307585, max accuracy:0.48783977110157367, loss:263.2023620605469, min Loss:249.32061767578125
iteration 130000, accuracy:0.37339055793991416, max accuracy:0.48783977110157367, loss:300.9234924316406, min Loss:248.0040740966797
iteration 131000, accuracy:0.45493562231759654, max accuracy:0.48783977110157367, loss:281.28338623046875, min Loss:247.21835327148438
iteration 132000, accuracy:0.4062947067238913, max accuracy:0.48783977110157367, loss:256.3592224121094, min Loss:246.0985870361328
iteration 133000, accuracy:0.37625178826895567, max accuracy:0.48783977110157367, loss:268.8229675292969, min Loss:244.30282592773438
iteration 134000, accuracy:0.48068669527896996, max accuracy:0.48783977110157367, loss:259.10662841796875, min Loss:244.30282592773438
iteration 135000, accuracy:0.45779685264663805, max accuracy:0.48783977110157367, loss:249.73399353027344, min Loss:242.66822814941406
iteration 136000, accuracy:0.4449213161659514, max accuracy:0.48783977110157367, loss:248.31948852539062, min Loss:241.9151611328125
iteration 137000, accuracy:0.4005722460658083, max accuracy:0.48783977110157367, loss:247.25885009765625, min Loss:240.06402587890625
iteration 138000, accuracy:0.43776824034334766, max accuracy:0.48783977110157367, loss:253.04200744628906, min Loss:238.7143096923828
iteration 139000, accuracy:0.47067238912732473, max accuracy:0.48783977110157367, loss:241.54153442382812, min Loss:237.4540557861328
iteration 140000, accuracy:0.46208869814020026, max accuracy:0.48783977110157367, loss:244.5530242919922, min Loss:237.29164123535156
iteration 141000, accuracy:0.4592274678111588, max accuracy:0.48783977110157367, loss:254.7442169189453, min Loss:235.53721618652344
iteration 142000, accuracy:0.4592274678111588, max accuracy:0.48783977110157367, loss:242.91397094726562, min Loss:235.08213806152344
iteration 143000, accuracy:0.463519313304721, max accuracy:0.48783977110157367, loss:297.182861328125, min Loss:232.20591735839844
iteration 144000, accuracy:0.413447782546495, max accuracy:0.48783977110157367, loss:256.87493896484375, min Loss:231.8687286376953
iteration 145000, accuracy:0.38626609442060084, max accuracy:0.48783977110157367, loss:253.0020751953125, min Loss:230.95904541015625
iteration 146000, accuracy:0.39198855507868385, max accuracy:0.48783977110157367, loss:313.62811279296875, min Loss:230.6704559326172
iteration 147000, accuracy:0.4334763948497854, max accuracy:0.48783977110157367, loss:248.7741241455078, min Loss:229.30389404296875
iteration 148000, accuracy:0.4206008583690987, max accuracy:0.48783977110157367, loss:267.7403564453125, min Loss:227.46725463867188
iteration 149000, accuracy:0.44778254649499283, max accuracy:0.48783977110157367, loss:251.82579040527344, min Loss:226.47378540039062
iteration 150000, accuracy:0.45493562231759654, max accuracy:0.48783977110157367, loss:243.98147583007812, min Loss:224.51463317871094
iteration 151000, accuracy:0.4363376251788269, max accuracy:0.48783977110157367, loss:229.08071899414062, min Loss:224.06277465820312
iteration 152000, accuracy:0.474964234620887, max accuracy:0.48783977110157367, loss:238.0535430908203, min Loss:223.10243225097656
iteration 153000, accuracy:0.3948497854077253, max accuracy:0.48783977110157367, loss:234.86563110351562, min Loss:221.80197143554688
iteration 154000, accuracy:0.3419170243204578, max accuracy:0.48783977110157367, loss:251.3419189453125, min Loss:220.5758819580078
iteration 155000, accuracy:0.47353361945636624, max accuracy:0.48783977110157367, loss:225.35107421875, min Loss:220.44276428222656
iteration 156000, accuracy:0.34334763948497854, max accuracy:0.48783977110157367, loss:272.9552917480469, min Loss:218.7315216064453
iteration 157000, accuracy:0.4220314735336195, max accuracy:0.48783977110157367, loss:239.1324462890625, min Loss:218.7315216064453
iteration 158000, accuracy:0.4663805436337625, max accuracy:0.48783977110157367, loss:230.99966430664062, min Loss:217.2296905517578
iteration 159000, accuracy:0.4334763948497854, max accuracy:0.48783977110157367, loss:223.03598022460938, min Loss:217.2296905517578
iteration 160000, accuracy:0.45779685264663805, max accuracy:0.48783977110157367, loss:226.04908752441406, min Loss:215.15701293945312
iteration 161000, accuracy:0.4792560801144492, max accuracy:0.48783977110157367, loss:220.05593872070312, min Loss:214.61822509765625
iteration 162000, accuracy:0.45779685264663805, max accuracy:0.48783977110157367, loss:231.67868041992188, min Loss:214.3654327392578
iteration 163000, accuracy:0.49213161659513593, max accuracy:0.49213161659513593, loss:214.76039123535156, min Loss:211.90579223632812
iteration 164000, accuracy:0.4563662374821173, max accuracy:0.49213161659513593, loss:223.9222869873047, min Loss:211.90579223632812
