iteration 1000, accuracy:0.42542372881355933, max accuracy:0.42542372881355933, loss:579.4171752929688, min Loss:578.474853515625
iteration 2000, accuracy:0.4059322033898305, max accuracy:0.42542372881355933, loss:523.353515625, min Loss:523.353515625
iteration 3000, accuracy:0.3813559322033898, max accuracy:0.42542372881355933, loss:513.253662109375, min Loss:512.9447021484375
iteration 4000, accuracy:0.4059322033898305, max accuracy:0.42542372881355933, loss:507.1332092285156, min Loss:507.1332092285156
iteration 5000, accuracy:0.4186440677966102, max accuracy:0.42542372881355933, loss:505.5574645996094, min Loss:505.4872131347656
iteration 6000, accuracy:0.37203389830508476, max accuracy:0.42542372881355933, loss:505.17822265625, min Loss:504.49554443359375
iteration 7000, accuracy:0.4211864406779661, max accuracy:0.42542372881355933, loss:503.6721496582031, min Loss:503.66583251953125
iteration 8000, accuracy:0.43050847457627117, max accuracy:0.43050847457627117, loss:502.5312194824219, min Loss:502.3089294433594
iteration 9000, accuracy:0.40508474576271186, max accuracy:0.43050847457627117, loss:500.9075927734375, min Loss:500.6853942871094
iteration 10000, accuracy:0.4025423728813559, max accuracy:0.43050847457627117, loss:499.7173156738281, min Loss:499.20166015625
iteration 11000, accuracy:0.3974576271186441, max accuracy:0.43050847457627117, loss:497.5980529785156, min Loss:497.5909729003906
iteration 12000, accuracy:0.3788135593220339, max accuracy:0.43050847457627117, loss:496.5393371582031, min Loss:496.0247802734375
iteration 13000, accuracy:0.39661016949152544, max accuracy:0.43050847457627117, loss:495.1393737792969, min Loss:494.3703918457031
iteration 14000, accuracy:0.35677966101694913, max accuracy:0.43050847457627117, loss:493.4949951171875, min Loss:492.5872497558594
iteration 15000, accuracy:0.38305084745762713, max accuracy:0.43050847457627117, loss:492.6937255859375, min Loss:490.9411315917969
iteration 16000, accuracy:0.36610169491525424, max accuracy:0.43050847457627117, loss:490.02191162109375, min Loss:489.23944091796875
iteration 17000, accuracy:0.3855932203389831, max accuracy:0.43050847457627117, loss:488.2767333984375, min Loss:487.4920654296875
iteration 18000, accuracy:0.376271186440678, max accuracy:0.43050847457627117, loss:487.4062805175781, min Loss:485.59185791015625
iteration 19000, accuracy:0.3822033898305085, max accuracy:0.43050847457627117, loss:483.7413024902344, min Loss:483.6329345703125
iteration 20000, accuracy:0.3389830508474576, max accuracy:0.43050847457627117, loss:483.7701416015625, min Loss:481.7182922363281
iteration 21000, accuracy:0.3593220338983051, max accuracy:0.43050847457627117, loss:481.0858154296875, min Loss:480.12860107421875
iteration 22000, accuracy:0.3483050847457627, max accuracy:0.43050847457627117, loss:479.78350830078125, min Loss:478.5906066894531
iteration 23000, accuracy:0.3635593220338983, max accuracy:0.43050847457627117, loss:477.933349609375, min Loss:477.19293212890625
iteration 24000, accuracy:0.38813559322033897, max accuracy:0.43050847457627117, loss:476.47357177734375, min Loss:475.857666015625
iteration 25000, accuracy:0.3483050847457627, max accuracy:0.43050847457627117, loss:475.7418518066406, min Loss:474.43817138671875
iteration 26000, accuracy:0.36610169491525424, max accuracy:0.43050847457627117, loss:473.7869567871094, min Loss:472.5055236816406
iteration 27000, accuracy:0.3711864406779661, max accuracy:0.43050847457627117, loss:471.3339538574219, min Loss:470.8686828613281
iteration 28000, accuracy:0.35084745762711866, max accuracy:0.43050847457627117, loss:468.89581298828125, min Loss:468.62249755859375
iteration 29000, accuracy:0.3271186440677966, max accuracy:0.43050847457627117, loss:468.5856018066406, min Loss:466.3527526855469
iteration 30000, accuracy:0.3288135593220339, max accuracy:0.43050847457627117, loss:466.4959411621094, min Loss:464.3027648925781
iteration 31000, accuracy:0.3694915254237288, max accuracy:0.43050847457627117, loss:466.4754943847656, min Loss:461.8228759765625
iteration 32000, accuracy:0.3771186440677966, max accuracy:0.43050847457627117, loss:461.0523376464844, min Loss:459.5439453125
iteration 33000, accuracy:0.36694915254237287, max accuracy:0.43050847457627117, loss:458.255126953125, min Loss:456.7726135253906
iteration 34000, accuracy:0.3805084745762712, max accuracy:0.43050847457627117, loss:454.6312561035156, min Loss:453.3385925292969
iteration 35000, accuracy:0.37542372881355934, max accuracy:0.43050847457627117, loss:449.5412292480469, min Loss:449.3587646484375
iteration 36000, accuracy:0.3635593220338983, max accuracy:0.43050847457627117, loss:445.0193176269531, min Loss:443.87860107421875
iteration 37000, accuracy:0.36271186440677966, max accuracy:0.43050847457627117, loss:447.2869567871094, min Loss:439.6228332519531
iteration 38000, accuracy:0.32372881355932204, max accuracy:0.43050847457627117, loss:440.2718505859375, min Loss:433.750244140625
iteration 39000, accuracy:0.38305084745762713, max accuracy:0.43050847457627117, loss:428.0506286621094, min Loss:427.01776123046875
iteration 40000, accuracy:0.3228813559322034, max accuracy:0.43050847457627117, loss:429.8283996582031, min Loss:421.1172180175781
iteration 41000, accuracy:0.39152542372881355, max accuracy:0.43050847457627117, loss:420.6435546875, min Loss:414.07977294921875
iteration 42000, accuracy:0.3474576271186441, max accuracy:0.43050847457627117, loss:406.572998046875, min Loss:406.572998046875
iteration 43000, accuracy:0.3423728813559322, max accuracy:0.43050847457627117, loss:407.6443176269531, min Loss:398.8902587890625
iteration 44000, accuracy:0.26949152542372884, max accuracy:0.43050847457627117, loss:391.7711486816406, min Loss:390.0046691894531
iteration 45000, accuracy:0.3364406779661017, max accuracy:0.43050847457627117, loss:382.1271057128906, min Loss:380.7747497558594
iteration 46000, accuracy:0.36271186440677966, max accuracy:0.43050847457627117, loss:372.4078369140625, min Loss:369.6769104003906
iteration 47000, accuracy:0.37542372881355934, max accuracy:0.43050847457627117, loss:368.7126770019531, min Loss:360.4282531738281
iteration 48000, accuracy:0.3440677966101695, max accuracy:0.43050847457627117, loss:357.42864990234375, min Loss:351.6297302246094
iteration 49000, accuracy:0.28559322033898304, max accuracy:0.43050847457627117, loss:345.1610107421875, min Loss:342.14422607421875
iteration 50000, accuracy:0.3771186440677966, max accuracy:0.43050847457627117, loss:331.52813720703125, min Loss:330.50372314453125
iteration 51000, accuracy:0.3483050847457627, max accuracy:0.43050847457627117, loss:366.3429260253906, min Loss:321.06121826171875
iteration 52000, accuracy:0.3822033898305085, max accuracy:0.43050847457627117, loss:317.8277893066406, min Loss:311.7632751464844
iteration 53000, accuracy:0.3864406779661017, max accuracy:0.43050847457627117, loss:317.1856994628906, min Loss:300.137451171875
iteration 54000, accuracy:0.3008474576271186, max accuracy:0.43050847457627117, loss:344.947265625, min Loss:289.3312072753906
iteration 55000, accuracy:0.3601694915254237, max accuracy:0.43050847457627117, loss:330.72918701171875, min Loss:278.5112609863281
iteration 56000, accuracy:0.3389830508474576, max accuracy:0.43050847457627117, loss:289.5777893066406, min Loss:271.82391357421875
iteration 57000, accuracy:0.3305084745762712, max accuracy:0.43050847457627117, loss:271.44439697265625, min Loss:261.27032470703125
iteration 58000, accuracy:0.36271186440677966, max accuracy:0.43050847457627117, loss:263.1826171875, min Loss:250.868896484375
iteration 59000, accuracy:0.3635593220338983, max accuracy:0.43050847457627117, loss:246.76263427734375, min Loss:242.90150451660156
iteration 60000, accuracy:0.39915254237288134, max accuracy:0.43050847457627117, loss:250.79347229003906, min Loss:234.85067749023438
iteration 61000, accuracy:0.3983050847457627, max accuracy:0.43050847457627117, loss:242.05300903320312, min Loss:225.72198486328125
iteration 62000, accuracy:0.38728813559322034, max accuracy:0.43050847457627117, loss:226.95266723632812, min Loss:219.33590698242188
iteration 63000, accuracy:0.3601694915254237, max accuracy:0.43050847457627117, loss:213.3663330078125, min Loss:207.71194458007812
iteration 64000, accuracy:0.338135593220339, max accuracy:0.43050847457627117, loss:484.9029235839844, min Loss:206.99461364746094
iteration 65000, accuracy:0.2830508474576271, max accuracy:0.43050847457627117, loss:470.373779296875, min Loss:206.99461364746094
iteration 66000, accuracy:0.41694915254237286, max accuracy:0.43050847457627117, loss:486.27716064453125, min Loss:206.99461364746094
iteration 67000, accuracy:0.4279661016949153, max accuracy:0.43050847457627117, loss:448.7529602050781, min Loss:206.99461364746094
iteration 68000, accuracy:0.3440677966101695, max accuracy:0.43050847457627117, loss:449.0716857910156, min Loss:206.99461364746094
iteration 69000, accuracy:0.41779661016949154, max accuracy:0.43050847457627117, loss:445.8868713378906, min Loss:206.99461364746094
iteration 70000, accuracy:0.33220338983050846, max accuracy:0.43050847457627117, loss:422.269775390625, min Loss:206.99461364746094
iteration 71000, accuracy:0.3220338983050847, max accuracy:0.43050847457627117, loss:424.9155578613281, min Loss:206.99461364746094
iteration 72000, accuracy:0.3, max accuracy:0.43050847457627117, loss:430.2572326660156, min Loss:206.99461364746094
iteration 73000, accuracy:0.40847457627118644, max accuracy:0.43050847457627117, loss:414.59967041015625, min Loss:206.99461364746094
iteration 74000, accuracy:0.27796610169491526, max accuracy:0.43050847457627117, loss:398.4062194824219, min Loss:206.99461364746094
iteration 75000, accuracy:0.2576271186440678, max accuracy:0.43050847457627117, loss:392.1575012207031, min Loss:206.99461364746094
iteration 76000, accuracy:0.2889830508474576, max accuracy:0.43050847457627117, loss:376.0108947753906, min Loss:206.99461364746094
iteration 77000, accuracy:0.3254237288135593, max accuracy:0.43050847457627117, loss:379.296875, min Loss:206.99461364746094
iteration 78000, accuracy:0.37457627118644066, max accuracy:0.43050847457627117, loss:351.2848205566406, min Loss:206.99461364746094
iteration 79000, accuracy:0.2923728813559322, max accuracy:0.43050847457627117, loss:341.45477294921875, min Loss:206.99461364746094
iteration 80000, accuracy:0.32033898305084746, max accuracy:0.43050847457627117, loss:342.5323791503906, min Loss:206.99461364746094
iteration 81000, accuracy:0.30847457627118646, max accuracy:0.43050847457627117, loss:331.8672180175781, min Loss:206.99461364746094
iteration 82000, accuracy:0.261864406779661, max accuracy:0.43050847457627117, loss:323.36279296875, min Loss:206.99461364746094
iteration 83000, accuracy:0.3610169491525424, max accuracy:0.43050847457627117, loss:308.901123046875, min Loss:206.99461364746094
iteration 84000, accuracy:0.37203389830508476, max accuracy:0.43050847457627117, loss:303.1224365234375, min Loss:206.99461364746094
iteration 85000, accuracy:0.35423728813559324, max accuracy:0.43050847457627117, loss:291.10699462890625, min Loss:206.99461364746094
iteration 86000, accuracy:0.34915254237288135, max accuracy:0.43050847457627117, loss:287.2699890136719, min Loss:206.99461364746094
iteration 87000, accuracy:0.4033898305084746, max accuracy:0.43050847457627117, loss:261.17486572265625, min Loss:206.99461364746094
