iteration 54000, accuracy:0.4010199350950394, max accuracy:0.4520166898470097, loss:15.169580459594727, min Loss:15.101661682128906
iteration 55000, accuracy:0.4000927213722763, max accuracy:0.4520166898470097, loss:15.076641082763672, min Loss:15.04542350769043
iteration 56000, accuracy:0.3815484469170144, max accuracy:0.4520166898470097, loss:15.087418556213379, min Loss:14.944711685180664
iteration 57000, accuracy:0.4019471488178025, max accuracy:0.4520166898470097, loss:15.135777473449707, min Loss:14.878911972045898
iteration 58000, accuracy:0.41863699582753827, max accuracy:0.4520166898470097, loss:15.012242317199707, min Loss:14.8114652633667
iteration 59000, accuracy:0.3528048215113584, max accuracy:0.4520166898470097, loss:15.289066314697266, min Loss:14.745485305786133
iteration 60000, accuracy:0.3662494204914233, max accuracy:0.4520166898470097, loss:14.924911499023438, min Loss:14.647697448730469
iteration 61000, accuracy:0.34121464997681966, max accuracy:0.4520166898470097, loss:15.037030220031738, min Loss:14.576089859008789
iteration 62000, accuracy:0.3806212331942513, max accuracy:0.4520166898470097, loss:14.796213150024414, min Loss:14.511693000793457
iteration 63000, accuracy:0.3579044969865554, max accuracy:0.4520166898470097, loss:14.869490623474121, min Loss:14.483088493347168
iteration 64000, accuracy:0.39870190078813167, max accuracy:0.4520166898470097, loss:15.074860572814941, min Loss:14.382214546203613
iteration 65000, accuracy:0.39267501159017154, max accuracy:0.4520166898470097, loss:14.58424186706543, min Loss:14.318241119384766
iteration 66000, accuracy:0.4334724153917478, max accuracy:0.4520166898470097, loss:14.4002046585083, min Loss:14.271766662597656
iteration 67000, accuracy:0.3620769587389893, max accuracy:0.4520166898470097, loss:14.402064323425293, min Loss:14.174548149108887
iteration 68000, accuracy:0.38247566063977745, max accuracy:0.4520166898470097, loss:14.308656692504883, min Loss:14.153154373168945
iteration 69000, accuracy:0.3565136764024108, max accuracy:0.4520166898470097, loss:14.041245460510254, min Loss:14.041245460510254
iteration 70000, accuracy:0.37181270282800183, max accuracy:0.4520166898470097, loss:14.270927429199219, min Loss:14.013004302978516
iteration 71000, accuracy:0.3908205841446453, max accuracy:0.4520166898470097, loss:14.77710247039795, min Loss:13.941758155822754
iteration 72000, accuracy:0.3370421882243857, max accuracy:0.4520166898470097, loss:14.84097957611084, min Loss:13.902554512023926
iteration 73000, accuracy:0.4107556791840519, max accuracy:0.4520166898470097, loss:13.887602806091309, min Loss:13.80768871307373
iteration 74000, accuracy:0.41261010662957814, max accuracy:0.4520166898470097, loss:13.86029052734375, min Loss:13.762960433959961
iteration 75000, accuracy:0.3194251274918869, max accuracy:0.4520166898470097, loss:14.236446380615234, min Loss:13.692961692810059
iteration 76000, accuracy:0.3750579508576727, max accuracy:0.4520166898470097, loss:13.808473587036133, min Loss:13.678444862365723
