iteration 1000, accuracy:0.376720901126408, max accuracy:0.376720901126408, loss:1048.886962890625, min Loss:1048.886962890625
iteration 2000, accuracy:0.409261576971214, max accuracy:0.409261576971214, loss:1036.9371337890625, min Loss:1036.6617431640625
iteration 3000, accuracy:0.4668335419274093, max accuracy:0.4668335419274093, loss:1032.951416015625, min Loss:1032.951416015625
iteration 4000, accuracy:0.4881101376720901, max accuracy:0.4881101376720901, loss:1029.22705078125, min Loss:1029.22705078125
iteration 5000, accuracy:0.47309136420525655, max accuracy:0.4881101376720901, loss:1019.12060546875, min Loss:1018.906005859375
iteration 6000, accuracy:0.4668335419274093, max accuracy:0.4881101376720901, loss:1007.0689697265625, min Loss:1007.0689697265625
iteration 7000, accuracy:0.45056320400500627, max accuracy:0.4881101376720901, loss:995.2210693359375, min Loss:994.8063354492188
iteration 8000, accuracy:0.4493116395494368, max accuracy:0.4881101376720901, loss:984.3319091796875, min Loss:983.7373046875
iteration 9000, accuracy:0.4355444305381727, max accuracy:0.4881101376720901, loss:975.3563232421875, min Loss:974.4580688476562
iteration 10000, accuracy:0.43429286608260326, max accuracy:0.4881101376720901, loss:967.6060791015625, min Loss:965.947509765625
iteration 11000, accuracy:0.4455569461827284, max accuracy:0.4881101376720901, loss:957.761962890625, min Loss:957.590576171875
iteration 12000, accuracy:0.44180225281602004, max accuracy:0.4881101376720901, loss:949.7666015625, min Loss:948.75537109375
iteration 13000, accuracy:0.44680851063829785, max accuracy:0.4881101376720901, loss:940.5889282226562, min Loss:939.712890625
iteration 14000, accuracy:0.43929912390488113, max accuracy:0.4881101376720901, loss:934.2725830078125, min Loss:930.40185546875
iteration 15000, accuracy:0.4405506883604506, max accuracy:0.4881101376720901, loss:925.4901123046875, min Loss:920.2933959960938
iteration 16000, accuracy:0.4142678347934919, max accuracy:0.4881101376720901, loss:915.5897827148438, min Loss:910.309326171875
iteration 17000, accuracy:0.43929912390488113, max accuracy:0.4881101376720901, loss:905.38232421875, min Loss:901.2813720703125
iteration 18000, accuracy:0.4167709637046308, max accuracy:0.4881101376720901, loss:898.4310302734375, min Loss:893.6455688476562
iteration 19000, accuracy:0.42052565707133915, max accuracy:0.4881101376720901, loss:891.2136840820312, min Loss:886.8836059570312
iteration 20000, accuracy:0.4430538172715895, max accuracy:0.4881101376720901, loss:883.6062622070312, min Loss:881.2471313476562
iteration 21000, accuracy:0.4430538172715895, max accuracy:0.4881101376720901, loss:878.1113891601562, min Loss:874.7487182617188
iteration 22000, accuracy:0.3979974968710889, max accuracy:0.4881101376720901, loss:874.294921875, min Loss:869.7354125976562
iteration 23000, accuracy:0.409261576971214, max accuracy:0.4881101376720901, loss:869.9486694335938, min Loss:862.7037353515625
iteration 24000, accuracy:0.4330413016270338, max accuracy:0.4881101376720901, loss:863.2926635742188, min Loss:858.2142944335938
iteration 25000, accuracy:0.43679599499374216, max accuracy:0.4881101376720901, loss:854.0989379882812, min Loss:851.9957275390625
iteration 26000, accuracy:0.44806007509386736, max accuracy:0.4881101376720901, loss:867.5054931640625, min Loss:846.5772705078125
iteration 27000, accuracy:0.42803504380475593, max accuracy:0.4881101376720901, loss:840.6636352539062, min Loss:840.6636352539062
iteration 28000, accuracy:0.3867334167709637, max accuracy:0.4881101376720901, loss:844.133544921875, min Loss:835.9151000976562
iteration 29000, accuracy:0.425531914893617, max accuracy:0.4881101376720901, loss:836.603271484375, min Loss:830.2955932617188
iteration 30000, accuracy:0.44806007509386736, max accuracy:0.4881101376720901, loss:828.9102783203125, min Loss:824.9232177734375
iteration 31000, accuracy:0.44680851063829785, max accuracy:0.4881101376720901, loss:821.3253784179688, min Loss:818.956298828125
iteration 32000, accuracy:0.45807259073842305, max accuracy:0.4881101376720901, loss:822.0518798828125, min Loss:813.9341430664062
iteration 33000, accuracy:0.4292866082603254, max accuracy:0.4881101376720901, loss:827.1107177734375, min Loss:809.943115234375
iteration 34000, accuracy:0.4593241551939925, max accuracy:0.4881101376720901, loss:808.245849609375, min Loss:805.5451049804688
iteration 35000, accuracy:0.4067584480600751, max accuracy:0.4881101376720901, loss:808.86474609375, min Loss:801.2465209960938
iteration 36000, accuracy:0.3354192740926158, max accuracy:0.4881101376720901, loss:816.09814453125, min Loss:796.774169921875
iteration 37000, accuracy:0.41051314142678347, max accuracy:0.4881101376720901, loss:799.2449951171875, min Loss:792.5594482421875
iteration 38000, accuracy:0.45056320400500627, max accuracy:0.4881101376720901, loss:794.1214599609375, min Loss:789.02197265625
iteration 39000, accuracy:0.4655819774718398, max accuracy:0.4881101376720901, loss:791.4058837890625, min Loss:785.0062866210938
iteration 40000, accuracy:0.4430538172715895, max accuracy:0.4881101376720901, loss:790.8709716796875, min Loss:780.9563598632812
iteration 41000, accuracy:0.42177722152690866, max accuracy:0.4881101376720901, loss:793.80029296875, min Loss:776.4410400390625
iteration 42000, accuracy:0.4430538172715895, max accuracy:0.4881101376720901, loss:775.9224243164062, min Loss:773.1467895507812
iteration 43000, accuracy:0.4142678347934919, max accuracy:0.4881101376720901, loss:780.1298217773438, min Loss:768.5570678710938
iteration 44000, accuracy:0.4518147684605757, max accuracy:0.4881101376720901, loss:789.8692626953125, min Loss:765.4446411132812
iteration 45000, accuracy:0.4267834793491865, max accuracy:0.4881101376720901, loss:773.2048950195312, min Loss:762.4203491210938
iteration 46000, accuracy:0.4380475594493116, max accuracy:0.4881101376720901, loss:775.0134887695312, min Loss:758.1088256835938
iteration 47000, accuracy:0.45431789737171463, max accuracy:0.4881101376720901, loss:754.439697265625, min Loss:754.146484375
iteration 48000, accuracy:0.46057571964956195, max accuracy:0.4881101376720901, loss:768.0238037109375, min Loss:751.3059692382812
iteration 49000, accuracy:0.4568210262828536, max accuracy:0.4881101376720901, loss:765.5220947265625, min Loss:747.6686401367188
iteration 50000, accuracy:0.43679599499374216, max accuracy:0.4881101376720901, loss:776.2205810546875, min Loss:742.8547973632812
iteration 51000, accuracy:0.45807259073842305, max accuracy:0.4881101376720901, loss:753.402587890625, min Loss:740.0691528320312
iteration 52000, accuracy:0.46307884856070086, max accuracy:0.4881101376720901, loss:740.0537719726562, min Loss:737.1376953125
iteration 53000, accuracy:0.29662077596996245, max accuracy:0.4881101376720901, loss:762.8762817382812, min Loss:733.296875
iteration 54000, accuracy:0.3804755944931164, max accuracy:0.4881101376720901, loss:740.1698608398438, min Loss:732.183837890625
iteration 55000, accuracy:0.4493116395494368, max accuracy:0.4881101376720901, loss:750.2962646484375, min Loss:728.4573364257812
iteration 56000, accuracy:0.4668335419274093, max accuracy:0.4881101376720901, loss:742.440673828125, min Loss:725.594482421875
iteration 57000, accuracy:0.36795994993742176, max accuracy:0.4881101376720901, loss:737.0137939453125, min Loss:722.641845703125
iteration 58000, accuracy:0.4430538172715895, max accuracy:0.4881101376720901, loss:723.1611938476562, min Loss:718.68994140625
iteration 59000, accuracy:0.4267834793491865, max accuracy:0.4881101376720901, loss:720.5588989257812, min Loss:717.6502075195312
iteration 60000, accuracy:0.4493116395494368, max accuracy:0.4881101376720901, loss:756.5903930664062, min Loss:713.8890380859375
iteration 61000, accuracy:0.4518147684605757, max accuracy:0.4881101376720901, loss:725.1666259765625, min Loss:711.9483642578125
iteration 62000, accuracy:0.35544430538172717, max accuracy:0.4881101376720901, loss:726.2525634765625, min Loss:708.2599487304688
iteration 63000, accuracy:0.41551939924906134, max accuracy:0.4881101376720901, loss:721.220947265625, min Loss:706.7962646484375
iteration 64000, accuracy:0.38923654568210264, max accuracy:0.4881101376720901, loss:713.156005859375, min Loss:704.18408203125
iteration 65000, accuracy:0.32916145181476847, max accuracy:0.4881101376720901, loss:734.8404541015625, min Loss:701.1991577148438
iteration 66000, accuracy:0.4718397997496871, max accuracy:0.4881101376720901, loss:699.62158203125, min Loss:698.932373046875
iteration 67000, accuracy:0.4330413016270338, max accuracy:0.4881101376720901, loss:698.154296875, min Loss:696.3123779296875
iteration 68000, accuracy:0.3591989987484355, max accuracy:0.4881101376720901, loss:709.548583984375, min Loss:693.8170776367188
iteration 69000, accuracy:0.44806007509386736, max accuracy:0.4881101376720901, loss:700.77783203125, min Loss:691.86572265625
iteration 70000, accuracy:0.3053817271589487, max accuracy:0.4881101376720901, loss:728.3445434570312, min Loss:688.8160400390625
iteration 71000, accuracy:0.4693366708385482, max accuracy:0.4881101376720901, loss:692.9805297851562, min Loss:686.830810546875
iteration 72000, accuracy:0.3692115143929912, max accuracy:0.4881101376720901, loss:703.4064331054688, min Loss:683.9727172851562
iteration 73000, accuracy:0.46057571964956195, max accuracy:0.4881101376720901, loss:696.5919189453125, min Loss:681.978759765625
iteration 74000, accuracy:0.3804755944931164, max accuracy:0.4881101376720901, loss:702.5420532226562, min Loss:680.1118774414062
iteration 75000, accuracy:0.40550688360450565, max accuracy:0.4881101376720901, loss:742.1432495117188, min Loss:677.5438232421875
iteration 76000, accuracy:0.4380475594493116, max accuracy:0.4881101376720901, loss:693.420654296875, min Loss:673.7401733398438
iteration 77000, accuracy:0.2878598247809762, max accuracy:0.4881101376720901, loss:734.6233520507812, min Loss:671.01513671875
iteration 78000, accuracy:0.4530663329161452, max accuracy:0.4881101376720901, loss:733.2402954101562, min Loss:668.8189086914062
iteration 79000, accuracy:0.4493116395494368, max accuracy:0.4881101376720901, loss:676.3889770507812, min Loss:667.32421875
iteration 80000, accuracy:0.3704630788485607, max accuracy:0.4881101376720901, loss:680.784423828125, min Loss:664.7255249023438
iteration 81000, accuracy:0.4405506883604506, max accuracy:0.4881101376720901, loss:737.4656372070312, min Loss:662.0838623046875
iteration 82000, accuracy:0.4455569461827284, max accuracy:0.4881101376720901, loss:684.3672485351562, min Loss:659.0767211914062
iteration 83000, accuracy:0.4668335419274093, max accuracy:0.4881101376720901, loss:669.9885864257812, min Loss:656.8892822265625
iteration 84000, accuracy:0.4493116395494368, max accuracy:0.4881101376720901, loss:668.1796875, min Loss:655.226806640625
iteration 85000, accuracy:0.4806007509386733, max accuracy:0.4881101376720901, loss:668.3417358398438, min Loss:651.3187866210938
iteration 86000, accuracy:0.4618272841051314, max accuracy:0.4881101376720901, loss:651.8336791992188, min Loss:650.3331909179688
iteration 87000, accuracy:0.4718397997496871, max accuracy:0.4881101376720901, loss:673.5978393554688, min Loss:647.9307250976562
iteration 88000, accuracy:0.30663329161451813, max accuracy:0.4881101376720901, loss:680.3405151367188, min Loss:645.4325561523438
iteration 89000, accuracy:0.35544430538172717, max accuracy:0.4881101376720901, loss:664.720947265625, min Loss:642.2427978515625
iteration 90000, accuracy:0.4780976220275344, max accuracy:0.4881101376720901, loss:655.9708862304688, min Loss:640.6737670898438
iteration 91000, accuracy:0.4005006257822278, max accuracy:0.4881101376720901, loss:662.3493041992188, min Loss:635.8209228515625
iteration 92000, accuracy:0.4493116395494368, max accuracy:0.4881101376720901, loss:649.2068481445312, min Loss:633.5983276367188
iteration 93000, accuracy:0.46808510638297873, max accuracy:0.4881101376720901, loss:632.2462158203125, min Loss:630.8426513671875
iteration 94000, accuracy:0.3879849812265332, max accuracy:0.4881101376720901, loss:638.0004272460938, min Loss:628.3761596679688
iteration 95000, accuracy:0.44430538172715894, max accuracy:0.4881101376720901, loss:662.1295776367188, min Loss:625.1826782226562
iteration 96000, accuracy:0.39424280350438046, max accuracy:0.4881101376720901, loss:643.7456665039062, min Loss:623.633544921875
iteration 97000, accuracy:0.4267834793491865, max accuracy:0.4881101376720901, loss:626.7396850585938, min Loss:621.0499267578125
iteration 98000, accuracy:0.43929912390488113, max accuracy:0.4881101376720901, loss:631.4278564453125, min Loss:617.6021728515625
iteration 99000, accuracy:0.4643304130162703, max accuracy:0.4881101376720901, loss:632.5523681640625, min Loss:614.51416015625
iteration 100000, accuracy:0.4856070087609512, max accuracy:0.4881101376720901, loss:617.3276977539062, min Loss:612.6901245117188
iteration 101000, accuracy:0.43929912390488113, max accuracy:0.4881101376720901, loss:631.4253540039062, min Loss:610.3993530273438
iteration 102000, accuracy:0.4518147684605757, max accuracy:0.4881101376720901, loss:610.8627319335938, min Loss:606.55615234375
iteration 103000, accuracy:0.4493116395494368, max accuracy:0.4881101376720901, loss:641.9620361328125, min Loss:604.2316284179688
iteration 104000, accuracy:0.4380475594493116, max accuracy:0.4881101376720901, loss:614.0653686523438, min Loss:603.204345703125
iteration 105000, accuracy:0.3992490613266583, max accuracy:0.4881101376720901, loss:609.1439819335938, min Loss:600.8036499023438
iteration 106000, accuracy:0.40801001251564456, max accuracy:0.4881101376720901, loss:609.518310546875, min Loss:597.7348022460938
iteration 107000, accuracy:0.45807259073842305, max accuracy:0.4881101376720901, loss:605.9057006835938, min Loss:596.0679321289062
iteration 108000, accuracy:0.31789737171464333, max accuracy:0.4881101376720901, loss:616.77587890625, min Loss:592.969482421875
iteration 109000, accuracy:0.4430538172715895, max accuracy:0.4881101376720901, loss:595.8695678710938, min Loss:590.8976440429688
iteration 110000, accuracy:0.45431789737171463, max accuracy:0.4881101376720901, loss:591.7677612304688, min Loss:589.7293701171875
iteration 111000, accuracy:0.3704630788485607, max accuracy:0.4881101376720901, loss:609.9654541015625, min Loss:587.1726684570312
iteration 112000, accuracy:0.4568210262828536, max accuracy:0.4881101376720901, loss:615.650146484375, min Loss:583.9757690429688
iteration 113000, accuracy:0.409261576971214, max accuracy:0.4881101376720901, loss:622.2505493164062, min Loss:583.47412109375
iteration 114000, accuracy:0.3829787234042553, max accuracy:0.4881101376720901, loss:592.3303833007812, min Loss:581.0370483398438
iteration 115000, accuracy:0.26282853566958697, max accuracy:0.4881101376720901, loss:621.9553833007812, min Loss:578.3727416992188
iteration 116000, accuracy:0.45431789737171463, max accuracy:0.4881101376720901, loss:576.5345458984375, min Loss:576.4293823242188
iteration 117000, accuracy:0.4693366708385482, max accuracy:0.4881101376720901, loss:621.884521484375, min Loss:573.2352294921875
iteration 118000, accuracy:0.44180225281602004, max accuracy:0.4881101376720901, loss:667.1109619140625, min Loss:571.670166015625
iteration 119000, accuracy:0.44430538172715894, max accuracy:0.4881101376720901, loss:573.7294921875, min Loss:569.6092529296875
iteration 120000, accuracy:0.34918648310387984, max accuracy:0.4881101376720901, loss:588.3134765625, min Loss:567.5346069335938
iteration 121000, accuracy:0.4568210262828536, max accuracy:0.4881101376720901, loss:596.7748413085938, min Loss:564.8372802734375
iteration 122000, accuracy:0.4355444305381727, max accuracy:0.4881101376720901, loss:583.3287353515625, min Loss:562.7660522460938
iteration 123000, accuracy:0.35168961201501875, max accuracy:0.4881101376720901, loss:606.9854125976562, min Loss:561.4873046875
iteration 124000, accuracy:0.4292866082603254, max accuracy:0.4881101376720901, loss:715.1168823242188, min Loss:560.0299072265625
iteration 125000, accuracy:0.36295369211514394, max accuracy:0.4881101376720901, loss:596.9275512695312, min Loss:556.5931396484375
iteration 126000, accuracy:0.4067584480600751, max accuracy:0.4881101376720901, loss:594.301025390625, min Loss:554.7418212890625
iteration 127000, accuracy:0.47309136420525655, max accuracy:0.4881101376720901, loss:587.14892578125, min Loss:552.7279663085938
iteration 128000, accuracy:0.47309136420525655, max accuracy:0.4881101376720901, loss:585.3909912109375, min Loss:549.1016235351562
iteration 129000, accuracy:0.41551939924906134, max accuracy:0.4881101376720901, loss:612.9885864257812, min Loss:549.1016235351562
iteration 130000, accuracy:0.41802252816020025, max accuracy:0.4881101376720901, loss:592.077880859375, min Loss:547.0888671875
iteration 131000, accuracy:0.48685857321652065, max accuracy:0.4881101376720901, loss:584.2588500976562, min Loss:545.6087036132812
iteration 132000, accuracy:0.4267834793491865, max accuracy:0.4881101376720901, loss:560.9710083007812, min Loss:542.2984619140625
iteration 133000, accuracy:0.3954943679599499, max accuracy:0.4881101376720901, loss:556.9929809570312, min Loss:539.5724487304688
iteration 134000, accuracy:0.4693366708385482, max accuracy:0.4881101376720901, loss:558.4734497070312, min Loss:538.6683349609375
iteration 135000, accuracy:0.43679599499374216, max accuracy:0.4881101376720901, loss:568.21875, min Loss:535.3767700195312
iteration 136000, accuracy:0.47058823529411764, max accuracy:0.4881101376720901, loss:538.6530151367188, min Loss:534.9534912109375
iteration 137000, accuracy:0.27409261576971217, max accuracy:0.4881101376720901, loss:586.989990234375, min Loss:531.2189331054688
iteration 138000, accuracy:0.40550688360450565, max accuracy:0.4881101376720901, loss:536.688720703125, min Loss:528.5294189453125
iteration 139000, accuracy:0.47058823529411764, max accuracy:0.4881101376720901, loss:546.1353759765625, min Loss:525.9148559570312
iteration 140000, accuracy:0.3979974968710889, max accuracy:0.4881101376720901, loss:561.8798217773438, min Loss:523.9971923828125
iteration 141000, accuracy:0.3053817271589487, max accuracy:0.4881101376720901, loss:559.3197631835938, min Loss:520.830078125
iteration 142000, accuracy:0.3829787234042553, max accuracy:0.4881101376720901, loss:592.3169555664062, min Loss:518.1593017578125
iteration 143000, accuracy:0.295369211514393, max accuracy:0.4881101376720901, loss:562.1173095703125, min Loss:517.0305786132812
iteration 144000, accuracy:0.4455569461827284, max accuracy:0.4881101376720901, loss:533.7179565429688, min Loss:514.686279296875
iteration 145000, accuracy:0.4918648310387985, max accuracy:0.4918648310387985, loss:521.8323364257812, min Loss:512.7569580078125
iteration 146000, accuracy:0.4518147684605757, max accuracy:0.4918648310387985, loss:534.6336669921875, min Loss:510.5159606933594
iteration 147000, accuracy:0.4380475594493116, max accuracy:0.4918648310387985, loss:511.53948974609375, min Loss:506.9038391113281
iteration 148000, accuracy:0.4856070087609512, max accuracy:0.4918648310387985, loss:583.6534423828125, min Loss:505.290771484375
iteration 149000, accuracy:0.4668335419274093, max accuracy:0.4918648310387985, loss:524.5997924804688, min Loss:503.46978759765625
iteration 150000, accuracy:0.44430538172715894, max accuracy:0.4918648310387985, loss:548.0745849609375, min Loss:501.1474304199219
iteration 151000, accuracy:0.4493116395494368, max accuracy:0.4918648310387985, loss:524.994873046875, min Loss:499.1927795410156
iteration 152000, accuracy:0.44430538172715894, max accuracy:0.4918648310387985, loss:508.4925231933594, min Loss:496.0826110839844
iteration 153000, accuracy:0.3804755944931164, max accuracy:0.4918648310387985, loss:540.3408203125, min Loss:496.0826110839844
iteration 154000, accuracy:0.31289111389236546, max accuracy:0.4918648310387985, loss:549.10107421875, min Loss:493.9825134277344
iteration 155000, accuracy:0.44680851063829785, max accuracy:0.4918648310387985, loss:503.175537109375, min Loss:490.9344177246094
iteration 156000, accuracy:0.2503128911138924, max accuracy:0.4918648310387985, loss:567.3215942382812, min Loss:489.2245178222656
iteration 157000, accuracy:0.4518147684605757, max accuracy:0.4918648310387985, loss:537.5171508789062, min Loss:487.7782897949219
iteration 158000, accuracy:0.4117647058823529, max accuracy:0.4918648310387985, loss:541.4527587890625, min Loss:486.5847473144531
iteration 159000, accuracy:0.4380475594493116, max accuracy:0.4918648310387985, loss:518.0223999023438, min Loss:485.1357727050781
iteration 160000, accuracy:0.3041301627033792, max accuracy:0.4918648310387985, loss:539.489501953125, min Loss:483.15478515625
iteration 161000, accuracy:0.3829787234042553, max accuracy:0.4918648310387985, loss:523.5571899414062, min Loss:480.04547119140625
iteration 162000, accuracy:0.45431789737171463, max accuracy:0.4918648310387985, loss:512.8720703125, min Loss:477.8603820800781
iteration 163000, accuracy:0.3566958698372966, max accuracy:0.4918648310387985, loss:515.4567260742188, min Loss:476.07061767578125
iteration 164000, accuracy:0.44180225281602004, max accuracy:0.4918648310387985, loss:509.2840881347656, min Loss:476.07061767578125
iteration 165000, accuracy:0.4405506883604506, max accuracy:0.4918648310387985, loss:482.71295166015625, min Loss:473.5325012207031
iteration 166000, accuracy:0.4405506883604506, max accuracy:0.4918648310387985, loss:506.41705322265625, min Loss:472.42431640625
iteration 167000, accuracy:0.3967459324155194, max accuracy:0.4918648310387985, loss:562.3864135742188, min Loss:470.3145751953125
iteration 168000, accuracy:0.36295369211514394, max accuracy:0.4918648310387985, loss:482.79595947265625, min Loss:467.8565673828125
iteration 169000, accuracy:0.41551939924906134, max accuracy:0.4918648310387985, loss:484.37005615234375, min Loss:466.765869140625
iteration 170000, accuracy:0.40425531914893614, max accuracy:0.4918648310387985, loss:541.0169067382812, min Loss:464.31396484375
iteration 171000, accuracy:0.45056320400500627, max accuracy:0.4918648310387985, loss:521.218505859375, min Loss:463.15472412109375
iteration 172000, accuracy:0.40425531914893614, max accuracy:0.4918648310387985, loss:470.8564453125, min Loss:463.15472412109375
iteration 173000, accuracy:0.37296620775969963, max accuracy:0.4918648310387985, loss:502.1131286621094, min Loss:460.0211181640625
iteration 174000, accuracy:0.43679599499374216, max accuracy:0.4918648310387985, loss:493.8203125, min Loss:459.0950622558594
iteration 175000, accuracy:0.4530663329161452, max accuracy:0.4918648310387985, loss:478.2837219238281, min Loss:458.2919616699219
iteration 176000, accuracy:0.3717146433041302, max accuracy:0.4918648310387985, loss:508.4464416503906, min Loss:455.9016418457031
iteration 177000, accuracy:0.41802252816020025, max accuracy:0.4918648310387985, loss:489.0785217285156, min Loss:453.92303466796875
iteration 178000, accuracy:0.40175219023779724, max accuracy:0.4918648310387985, loss:501.4643249511719, min Loss:453.92303466796875
iteration 179000, accuracy:0.46057571964956195, max accuracy:0.4918648310387985, loss:471.4894104003906, min Loss:450.5240173339844
iteration 180000, accuracy:0.4568210262828536, max accuracy:0.4918648310387985, loss:465.9361267089844, min Loss:449.98614501953125
iteration 181000, accuracy:0.43429286608260326, max accuracy:0.4918648310387985, loss:462.2914123535156, min Loss:447.8091125488281
iteration 182000, accuracy:0.4305381727158949, max accuracy:0.4918648310387985, loss:543.4252319335938, min Loss:447.26251220703125
iteration 183000, accuracy:0.4693366708385482, max accuracy:0.4918648310387985, loss:455.9032897949219, min Loss:445.119873046875
iteration 184000, accuracy:0.3954943679599499, max accuracy:0.4918648310387985, loss:513.9852294921875, min Loss:443.50494384765625
iteration 185000, accuracy:0.493116395494368, max accuracy:0.493116395494368, loss:470.1175842285156, min Loss:443.4435119628906
iteration 186000, accuracy:0.4655819774718398, max accuracy:0.493116395494368, loss:454.4732666015625, min Loss:442.1563720703125
iteration 187000, accuracy:0.4555694618272841, max accuracy:0.493116395494368, loss:461.6658630371094, min Loss:439.28228759765625
iteration 188000, accuracy:0.409261576971214, max accuracy:0.493116395494368, loss:456.0056457519531, min Loss:437.8585205078125
iteration 189000, accuracy:0.4430538172715895, max accuracy:0.493116395494368, loss:489.3032531738281, min Loss:436.43829345703125
iteration 190000, accuracy:0.41802252816020025, max accuracy:0.493116395494368, loss:466.50860595703125, min Loss:435.0437927246094
