iteration 1000, accuracy:0.34024896265560167, max accuracy:0.34024896265560167, loss:2111.5859375, min Loss:2111.5859375
iteration 2000, accuracy:0.4315352697095436, max accuracy:0.4315352697095436, loss:2043.9095458984375, min Loss:2042.7769775390625
iteration 3000, accuracy:0.37136929460580914, max accuracy:0.4315352697095436, loss:1999.103515625, min Loss:1998.981689453125
iteration 4000, accuracy:0.4149377593360996, max accuracy:0.4315352697095436, loss:1962.4893798828125, min Loss:1958.2620849609375
iteration 5000, accuracy:0.43568464730290457, max accuracy:0.43568464730290457, loss:1931.151611328125, min Loss:1929.7864990234375
iteration 6000, accuracy:0.42323651452282157, max accuracy:0.43568464730290457, loss:1906.4320068359375, min Loss:1905.711669921875
iteration 7000, accuracy:0.4107883817427386, max accuracy:0.43568464730290457, loss:1883.6583251953125, min Loss:1881.9222412109375
iteration 8000, accuracy:0.3900414937759336, max accuracy:0.43568464730290457, loss:1863.0435791015625, min Loss:1860.288330078125
iteration 9000, accuracy:0.4004149377593361, max accuracy:0.43568464730290457, loss:1848.41259765625, min Loss:1835.8140869140625
iteration 10000, accuracy:0.43775933609958506, max accuracy:0.43775933609958506, loss:1814.6624755859375, min Loss:1811.336669921875
iteration 11000, accuracy:0.42323651452282157, max accuracy:0.43775933609958506, loss:1791.9798583984375, min Loss:1786.275146484375
iteration 12000, accuracy:0.44190871369294604, max accuracy:0.44190871369294604, loss:1764.8863525390625, min Loss:1763.1978759765625
iteration 13000, accuracy:0.4190871369294606, max accuracy:0.44190871369294604, loss:1751.4425048828125, min Loss:1741.6004638671875
iteration 14000, accuracy:0.42738589211618255, max accuracy:0.44190871369294604, loss:1732.240478515625, min Loss:1722.522216796875
iteration 15000, accuracy:0.4190871369294606, max accuracy:0.44190871369294604, loss:1709.907470703125, min Loss:1704.389892578125
iteration 16000, accuracy:0.4087136929460581, max accuracy:0.44190871369294604, loss:1689.7940673828125, min Loss:1683.858154296875
iteration 17000, accuracy:0.3962655601659751, max accuracy:0.44190871369294604, loss:1675.50634765625, min Loss:1661.93505859375
iteration 18000, accuracy:0.3630705394190871, max accuracy:0.44190871369294604, loss:1645.741943359375, min Loss:1641.588623046875
iteration 19000, accuracy:0.4170124481327801, max accuracy:0.44190871369294604, loss:1620.059326171875, min Loss:1618.0975341796875
iteration 20000, accuracy:0.42531120331950206, max accuracy:0.44190871369294604, loss:1601.5404052734375, min Loss:1597.017578125
iteration 21000, accuracy:0.4066390041493776, max accuracy:0.44190871369294604, loss:1583.903564453125, min Loss:1577.421630859375
iteration 22000, accuracy:0.38589211618257263, max accuracy:0.44190871369294604, loss:1560.4395751953125, min Loss:1555.4552001953125
iteration 23000, accuracy:0.38381742738589214, max accuracy:0.44190871369294604, loss:1542.506591796875, min Loss:1534.5694580078125
iteration 24000, accuracy:0.38381742738589214, max accuracy:0.44190871369294604, loss:1525.9310302734375, min Loss:1515.473388671875
iteration 25000, accuracy:0.4149377593360996, max accuracy:0.44190871369294604, loss:1536.7061767578125, min Loss:1501.2474365234375
iteration 26000, accuracy:0.3921161825726141, max accuracy:0.44190871369294604, loss:1492.28662109375, min Loss:1480.9444580078125
iteration 27000, accuracy:0.3360995850622407, max accuracy:0.44190871369294604, loss:1471.654296875, min Loss:1464.2459716796875
iteration 28000, accuracy:0.3817427385892116, max accuracy:0.44190871369294604, loss:1479.2255859375, min Loss:1446.031005859375
iteration 29000, accuracy:0.37136929460580914, max accuracy:0.44190871369294604, loss:1434.4609375, min Loss:1427.9910888671875
iteration 30000, accuracy:0.4336099585062241, max accuracy:0.44190871369294604, loss:1422.9569091796875, min Loss:1412.12744140625
iteration 31000, accuracy:0.3900414937759336, max accuracy:0.44190871369294604, loss:1405.77587890625, min Loss:1393.578369140625
iteration 32000, accuracy:0.38589211618257263, max accuracy:0.44190871369294604, loss:1438.7742919921875, min Loss:1380.53515625
iteration 33000, accuracy:0.4211618257261411, max accuracy:0.44190871369294604, loss:1372.845703125, min Loss:1364.62890625
iteration 34000, accuracy:0.42531120331950206, max accuracy:0.44190871369294604, loss:1353.526123046875, min Loss:1351.842529296875
iteration 35000, accuracy:0.4045643153526971, max accuracy:0.44190871369294604, loss:1344.925048828125, min Loss:1336.48388671875
iteration 36000, accuracy:0.3900414937759336, max accuracy:0.44190871369294604, loss:1369.740966796875, min Loss:1325.9119873046875
iteration 37000, accuracy:0.3941908713692946, max accuracy:0.44190871369294604, loss:1341.5867919921875, min Loss:1314.6204833984375
iteration 38000, accuracy:0.42738589211618255, max accuracy:0.44190871369294604, loss:1312.6002197265625, min Loss:1305.0792236328125
iteration 39000, accuracy:0.42323651452282157, max accuracy:0.44190871369294604, loss:1294.6075439453125, min Loss:1293.3953857421875
iteration 40000, accuracy:0.4315352697095436, max accuracy:0.44190871369294604, loss:1297.046630859375, min Loss:1283.1544189453125
iteration 41000, accuracy:0.4149377593360996, max accuracy:0.44190871369294604, loss:1327.862548828125, min Loss:1274.5404052734375
iteration 42000, accuracy:0.4066390041493776, max accuracy:0.44190871369294604, loss:1346.4473876953125, min Loss:1263.819091796875
iteration 43000, accuracy:0.45020746887966806, max accuracy:0.45020746887966806, loss:1270.0252685546875, min Loss:1256.706298828125
iteration 44000, accuracy:0.37136929460580914, max accuracy:0.45020746887966806, loss:1281.41796875, min Loss:1249.25927734375
iteration 45000, accuracy:0.4211618257261411, max accuracy:0.45020746887966806, loss:1257.369140625, min Loss:1236.331298828125
iteration 46000, accuracy:0.4315352697095436, max accuracy:0.45020746887966806, loss:1297.5445556640625, min Loss:1228.690185546875
iteration 47000, accuracy:0.4211618257261411, max accuracy:0.45020746887966806, loss:1250.68408203125, min Loss:1222.7166748046875
iteration 48000, accuracy:0.45020746887966806, max accuracy:0.45020746887966806, loss:1248.5543212890625, min Loss:1212.0755615234375
iteration 49000, accuracy:0.4190871369294606, max accuracy:0.45020746887966806, loss:1233.922119140625, min Loss:1205.5101318359375
iteration 50000, accuracy:0.42323651452282157, max accuracy:0.45020746887966806, loss:1210.0867919921875, min Loss:1196.5333251953125
iteration 51000, accuracy:0.42946058091286304, max accuracy:0.45020746887966806, loss:1222.5345458984375, min Loss:1188.9112548828125
iteration 52000, accuracy:0.4045643153526971, max accuracy:0.45020746887966806, loss:1198.208251953125, min Loss:1184.800048828125
iteration 53000, accuracy:0.3921161825726141, max accuracy:0.45020746887966806, loss:1204.0908203125, min Loss:1176.048583984375
iteration 54000, accuracy:0.4024896265560166, max accuracy:0.45020746887966806, loss:1187.7244873046875, min Loss:1171.622802734375
iteration 55000, accuracy:0.4024896265560166, max accuracy:0.45020746887966806, loss:1215.560791015625, min Loss:1163.624267578125
iteration 56000, accuracy:0.44813278008298757, max accuracy:0.45020746887966806, loss:1233.1148681640625, min Loss:1159.119873046875
iteration 57000, accuracy:0.45435684647302904, max accuracy:0.45435684647302904, loss:1186.447998046875, min Loss:1153.0491943359375
iteration 58000, accuracy:0.3983402489626556, max accuracy:0.45435684647302904, loss:1202.5240478515625, min Loss:1148.271240234375
iteration 59000, accuracy:0.42738589211618255, max accuracy:0.45435684647302904, loss:1154.03857421875, min Loss:1141.677978515625
iteration 60000, accuracy:0.3381742738589212, max accuracy:0.45435684647302904, loss:1283.932861328125, min Loss:1137.828857421875
iteration 61000, accuracy:0.4896265560165975, max accuracy:0.4896265560165975, loss:1143.5135498046875, min Loss:1131.9246826171875
iteration 62000, accuracy:0.47717842323651455, max accuracy:0.4896265560165975, loss:1137.588134765625, min Loss:1128.5208740234375
iteration 63000, accuracy:0.47717842323651455, max accuracy:0.4896265560165975, loss:1139.39111328125, min Loss:1123.282958984375
iteration 64000, accuracy:0.46887966804979253, max accuracy:0.4896265560165975, loss:1175.16357421875, min Loss:1116.019287109375
iteration 65000, accuracy:0.4004149377593361, max accuracy:0.4896265560165975, loss:1223.293212890625, min Loss:1111.409912109375
iteration 66000, accuracy:0.42946058091286304, max accuracy:0.4896265560165975, loss:1129.0435791015625, min Loss:1107.634033203125
iteration 67000, accuracy:0.475103734439834, max accuracy:0.4896265560165975, loss:1166.16259765625, min Loss:1103.0689697265625
iteration 68000, accuracy:0.45643153526970953, max accuracy:0.4896265560165975, loss:1115.7447509765625, min Loss:1100.49365234375
iteration 69000, accuracy:0.38589211618257263, max accuracy:0.4896265560165975, loss:1143.969482421875, min Loss:1093.742919921875
iteration 70000, accuracy:0.46887966804979253, max accuracy:0.4896265560165975, loss:1101.87548828125, min Loss:1090.6007080078125
iteration 71000, accuracy:0.4087136929460581, max accuracy:0.4896265560165975, loss:1156.10009765625, min Loss:1086.27880859375
iteration 72000, accuracy:0.4190871369294606, max accuracy:0.4896265560165975, loss:1094.9183349609375, min Loss:1080.29736328125
iteration 73000, accuracy:0.42323651452282157, max accuracy:0.4896265560165975, loss:1143.088134765625, min Loss:1073.0078125
iteration 74000, accuracy:0.45435684647302904, max accuracy:0.4896265560165975, loss:1098.895751953125, min Loss:1069.2291259765625
iteration 75000, accuracy:0.4170124481327801, max accuracy:0.4896265560165975, loss:1128.798828125, min Loss:1063.1087646484375
iteration 76000, accuracy:0.42946058091286304, max accuracy:0.4896265560165975, loss:1101.4129638671875, min Loss:1058.03857421875
iteration 77000, accuracy:0.4190871369294606, max accuracy:0.4896265560165975, loss:1105.3409423828125, min Loss:1055.0010986328125
iteration 78000, accuracy:0.43568464730290457, max accuracy:0.4896265560165975, loss:1092.7813720703125, min Loss:1048.7906494140625
iteration 79000, accuracy:0.44190871369294604, max accuracy:0.4896265560165975, loss:1155.1585693359375, min Loss:1042.872314453125
iteration 80000, accuracy:0.4605809128630705, max accuracy:0.4896265560165975, loss:1055.7103271484375, min Loss:1037.2174072265625
iteration 81000, accuracy:0.43983402489626555, max accuracy:0.4896265560165975, loss:1136.7637939453125, min Loss:1031.70947265625
iteration 82000, accuracy:0.46680497925311204, max accuracy:0.4896265560165975, loss:1101.9736328125, min Loss:1028.7850341796875
iteration 83000, accuracy:0.43775933609958506, max accuracy:0.4896265560165975, loss:1051.22607421875, min Loss:1020.9658813476562
iteration 84000, accuracy:0.3900414937759336, max accuracy:0.4896265560165975, loss:1067.0426025390625, min Loss:1017.4194946289062
iteration 85000, accuracy:0.475103734439834, max accuracy:0.4896265560165975, loss:1023.6829833984375, min Loss:1011.1744995117188
iteration 86000, accuracy:0.35892116182572614, max accuracy:0.4896265560165975, loss:1069.3056640625, min Loss:1007.646484375
iteration 87000, accuracy:0.37344398340248963, max accuracy:0.4896265560165975, loss:1061.8096923828125, min Loss:1002.1148071289062
iteration 88000, accuracy:0.43568464730290457, max accuracy:0.4896265560165975, loss:1025.813232421875, min Loss:1000.3600463867188
iteration 89000, accuracy:0.46680497925311204, max accuracy:0.4896265560165975, loss:1063.605224609375, min Loss:994.33154296875
iteration 90000, accuracy:0.45228215767634855, max accuracy:0.4896265560165975, loss:1016.8040161132812, min Loss:990.6572875976562
iteration 91000, accuracy:0.42531120331950206, max accuracy:0.4896265560165975, loss:990.5667114257812, min Loss:983.4013671875
iteration 92000, accuracy:0.38381742738589214, max accuracy:0.4896265560165975, loss:1016.977294921875, min Loss:978.4877319335938
iteration 93000, accuracy:0.3921161825726141, max accuracy:0.4896265560165975, loss:994.061279296875, min Loss:973.8551025390625
iteration 94000, accuracy:0.46680497925311204, max accuracy:0.4896265560165975, loss:1072.59423828125, min Loss:972.43994140625
iteration 95000, accuracy:0.47717842323651455, max accuracy:0.4896265560165975, loss:982.0121459960938, min Loss:964.8036499023438
iteration 96000, accuracy:0.42946058091286304, max accuracy:0.4896265560165975, loss:964.2304077148438, min Loss:960.589111328125
iteration 97000, accuracy:0.487551867219917, max accuracy:0.4896265560165975, loss:1200.2904052734375, min Loss:956.7455444335938
iteration 98000, accuracy:0.5, max accuracy:0.5, loss:953.8159790039062, min Loss:953.3017578125
iteration 99000, accuracy:0.4107883817427386, max accuracy:0.5, loss:964.7946166992188, min Loss:951.1371459960938
iteration 100000, accuracy:0.3630705394190871, max accuracy:0.5, loss:1130.2607421875, min Loss:944.107666015625
iteration 101000, accuracy:0.4605809128630705, max accuracy:0.5, loss:1215.235107421875, min Loss:942.4567260742188
iteration 102000, accuracy:0.38589211618257263, max accuracy:0.5, loss:957.8397216796875, min Loss:938.4277954101562
iteration 103000, accuracy:0.47717842323651455, max accuracy:0.5, loss:1015.3558349609375, min Loss:932.8936767578125
iteration 104000, accuracy:0.45228215767634855, max accuracy:0.5, loss:941.5361938476562, min Loss:931.1885986328125
iteration 105000, accuracy:0.4066390041493776, max accuracy:0.5, loss:1006.2841186523438, min Loss:927.6172485351562
iteration 106000, accuracy:0.4045643153526971, max accuracy:0.5, loss:965.0164794921875, min Loss:923.3397216796875
iteration 107000, accuracy:0.491701244813278, max accuracy:0.5, loss:925.19482421875, min Loss:922.4564208984375
iteration 108000, accuracy:0.4087136929460581, max accuracy:0.5, loss:1075.2958984375, min Loss:918.32470703125
iteration 109000, accuracy:0.4211618257261411, max accuracy:0.5, loss:998.3064575195312, min Loss:914.0381469726562
iteration 110000, accuracy:0.47925311203319504, max accuracy:0.5, loss:926.5879516601562, min Loss:911.9619140625
iteration 111000, accuracy:0.42323651452282157, max accuracy:0.5, loss:960.3560180664062, min Loss:907.6994018554688
iteration 112000, accuracy:0.2863070539419087, max accuracy:0.5, loss:1080.6002197265625, min Loss:904.022705078125
iteration 113000, accuracy:0.47925311203319504, max accuracy:0.5, loss:964.7986450195312, min Loss:897.2940673828125
iteration 114000, accuracy:0.487551867219917, max accuracy:0.5, loss:920.4602661132812, min Loss:896.1510620117188
iteration 115000, accuracy:0.3879668049792531, max accuracy:0.5, loss:913.6883544921875, min Loss:889.8710327148438
iteration 116000, accuracy:0.37136929460580914, max accuracy:0.5, loss:914.1701049804688, min Loss:888.8663940429688
iteration 117000, accuracy:0.45228215767634855, max accuracy:0.5, loss:902.5382690429688, min Loss:886.4652709960938
iteration 118000, accuracy:0.49377593360995853, max accuracy:0.5, loss:926.7897338867188, min Loss:884.6336059570312
iteration 119000, accuracy:0.4045643153526971, max accuracy:0.5, loss:950.6898193359375, min Loss:879.82958984375
iteration 120000, accuracy:0.4854771784232365, max accuracy:0.5, loss:890.7947998046875, min Loss:875.6393432617188
iteration 121000, accuracy:0.45850622406639, max accuracy:0.5, loss:922.3548583984375, min Loss:870.8707275390625
iteration 122000, accuracy:0.31950207468879666, max accuracy:0.5, loss:927.1570434570312, min Loss:867.89453125
iteration 123000, accuracy:0.4066390041493776, max accuracy:0.5, loss:899.3583984375, min Loss:866.3618774414062
iteration 124000, accuracy:0.4087136929460581, max accuracy:0.5, loss:946.0004272460938, min Loss:861.6476440429688
iteration 125000, accuracy:0.47717842323651455, max accuracy:0.5, loss:882.9042358398438, min Loss:859.5922241210938
iteration 126000, accuracy:0.45643153526970953, max accuracy:0.5, loss:864.5892333984375, min Loss:856.0711669921875
iteration 127000, accuracy:0.4211618257261411, max accuracy:0.5, loss:887.0597534179688, min Loss:853.3259887695312
iteration 128000, accuracy:0.4730290456431535, max accuracy:0.5, loss:851.0823974609375, min Loss:851.0823974609375
iteration 129000, accuracy:0.508298755186722, max accuracy:0.508298755186722, loss:1037.6361083984375, min Loss:846.1307983398438
iteration 130000, accuracy:0.487551867219917, max accuracy:0.508298755186722, loss:893.2933349609375, min Loss:843.4453125
iteration 131000, accuracy:0.43568464730290457, max accuracy:0.508298755186722, loss:888.27490234375, min Loss:841.410888671875
iteration 132000, accuracy:0.43568464730290457, max accuracy:0.508298755186722, loss:873.6436767578125, min Loss:835.604248046875
iteration 133000, accuracy:0.46680497925311204, max accuracy:0.508298755186722, loss:848.2857666015625, min Loss:832.8369140625
iteration 134000, accuracy:0.42738589211618255, max accuracy:0.508298755186722, loss:856.1134033203125, min Loss:831.5057983398438
iteration 135000, accuracy:0.49377593360995853, max accuracy:0.508298755186722, loss:890.9530029296875, min Loss:827.672119140625
iteration 136000, accuracy:0.3900414937759336, max accuracy:0.508298755186722, loss:1084.5494384765625, min Loss:824.0805053710938
iteration 137000, accuracy:0.38381742738589214, max accuracy:0.508298755186722, loss:866.653076171875, min Loss:822.7518920898438
iteration 138000, accuracy:0.483402489626556, max accuracy:0.508298755186722, loss:828.6766357421875, min Loss:817.6591186523438
iteration 139000, accuracy:0.4336099585062241, max accuracy:0.508298755186722, loss:836.2840576171875, min Loss:814.9263305664062
iteration 140000, accuracy:0.46473029045643155, max accuracy:0.508298755186722, loss:884.9522705078125, min Loss:813.5907592773438
iteration 141000, accuracy:0.46473029045643155, max accuracy:0.508298755186722, loss:839.749267578125, min Loss:811.14794921875
iteration 142000, accuracy:0.470954356846473, max accuracy:0.508298755186722, loss:828.0156860351562, min Loss:807.0640258789062
iteration 143000, accuracy:0.43983402489626555, max accuracy:0.508298755186722, loss:810.5098266601562, min Loss:807.0640258789062
iteration 144000, accuracy:0.49377593360995853, max accuracy:0.508298755186722, loss:932.7489624023438, min Loss:806.1279907226562
iteration 145000, accuracy:0.45435684647302904, max accuracy:0.508298755186722, loss:827.4031982421875, min Loss:802.6618041992188
iteration 146000, accuracy:0.4336099585062241, max accuracy:0.508298755186722, loss:847.611328125, min Loss:800.5645141601562
iteration 147000, accuracy:0.4605809128630705, max accuracy:0.508298755186722, loss:839.6102905273438, min Loss:799.7477416992188
iteration 148000, accuracy:0.44813278008298757, max accuracy:0.508298755186722, loss:796.7181396484375, min Loss:796.0509643554688
iteration 149000, accuracy:0.42323651452282157, max accuracy:0.508298755186722, loss:802.5814208984375, min Loss:790.5018920898438
iteration 150000, accuracy:0.44398340248962653, max accuracy:0.508298755186722, loss:875.8042602539062, min Loss:790.2256469726562
iteration 151000, accuracy:0.3091286307053942, max accuracy:0.508298755186722, loss:873.6583862304688, min Loss:785.4342041015625
iteration 152000, accuracy:0.4190871369294606, max accuracy:0.508298755186722, loss:806.5874633789062, min Loss:784.915771484375
iteration 153000, accuracy:0.3879668049792531, max accuracy:0.508298755186722, loss:839.6116943359375, min Loss:783.5416870117188
iteration 154000, accuracy:0.4190871369294606, max accuracy:0.508298755186722, loss:807.9849243164062, min Loss:781.44384765625
iteration 155000, accuracy:0.35269709543568467, max accuracy:0.508298755186722, loss:941.9283447265625, min Loss:777.442138671875
iteration 156000, accuracy:0.43775933609958506, max accuracy:0.508298755186722, loss:858.7744140625, min Loss:777.442138671875
iteration 157000, accuracy:0.5103734439834025, max accuracy:0.5103734439834025, loss:795.8441162109375, min Loss:774.2203369140625
iteration 158000, accuracy:0.3879668049792531, max accuracy:0.5103734439834025, loss:879.3095703125, min Loss:772.324462890625
iteration 159000, accuracy:0.4004149377593361, max accuracy:0.5103734439834025, loss:888.08203125, min Loss:768.7981567382812
iteration 160000, accuracy:0.35892116182572614, max accuracy:0.5103734439834025, loss:886.5197143554688, min Loss:767.8976440429688
iteration 161000, accuracy:0.5020746887966805, max accuracy:0.5103734439834025, loss:843.0137939453125, min Loss:763.5339965820312
iteration 162000, accuracy:0.4066390041493776, max accuracy:0.5103734439834025, loss:836.5392456054688, min Loss:763.0302124023438
iteration 163000, accuracy:0.4336099585062241, max accuracy:0.5103734439834025, loss:815.8338623046875, min Loss:763.0302124023438
iteration 164000, accuracy:0.46473029045643155, max accuracy:0.5103734439834025, loss:881.7938842773438, min Loss:761.06494140625
iteration 165000, accuracy:0.483402489626556, max accuracy:0.5103734439834025, loss:802.8976440429688, min Loss:756.935791015625
iteration 166000, accuracy:0.47925311203319504, max accuracy:0.5103734439834025, loss:828.2756958007812, min Loss:756.7567749023438
iteration 167000, accuracy:0.4460580912863071, max accuracy:0.5103734439834025, loss:775.26611328125, min Loss:755.6806640625
iteration 168000, accuracy:0.475103734439834, max accuracy:0.5103734439834025, loss:769.5787353515625, min Loss:750.7412719726562
iteration 169000, accuracy:0.4605809128630705, max accuracy:0.5103734439834025, loss:762.9182739257812, min Loss:750.7412719726562
iteration 170000, accuracy:0.43983402489626555, max accuracy:0.5103734439834025, loss:766.552734375, min Loss:750.187255859375
iteration 171000, accuracy:0.4087136929460581, max accuracy:0.5103734439834025, loss:888.9065551757812, min Loss:746.995849609375
iteration 172000, accuracy:0.43775933609958506, max accuracy:0.5103734439834025, loss:774.515625, min Loss:746.7811889648438
iteration 173000, accuracy:0.46473029045643155, max accuracy:0.5103734439834025, loss:833.55224609375, min Loss:743.8327026367188
iteration 174000, accuracy:0.3630705394190871, max accuracy:0.5103734439834025, loss:794.620361328125, min Loss:741.1857299804688
iteration 175000, accuracy:0.4460580912863071, max accuracy:0.5103734439834025, loss:827.2732543945312, min Loss:741.1555786132812
iteration 176000, accuracy:0.491701244813278, max accuracy:0.5103734439834025, loss:779.8941650390625, min Loss:740.4618530273438
iteration 177000, accuracy:0.47925311203319504, max accuracy:0.5103734439834025, loss:794.1641845703125, min Loss:735.59619140625
iteration 178000, accuracy:0.45643153526970953, max accuracy:0.5103734439834025, loss:769.3952026367188, min Loss:732.6141357421875
iteration 179000, accuracy:0.487551867219917, max accuracy:0.5103734439834025, loss:747.0112915039062, min Loss:732.2347412109375
iteration 180000, accuracy:0.4149377593360996, max accuracy:0.5103734439834025, loss:792.9364624023438, min Loss:729.4281005859375
iteration 181000, accuracy:0.38381742738589214, max accuracy:0.5103734439834025, loss:832.051025390625, min Loss:726.8291015625
iteration 182000, accuracy:0.5, max accuracy:0.5103734439834025, loss:743.0838012695312, min Loss:726.2754516601562
iteration 183000, accuracy:0.495850622406639, max accuracy:0.5103734439834025, loss:762.1170654296875, min Loss:723.2061767578125
iteration 184000, accuracy:0.36929460580912865, max accuracy:0.5103734439834025, loss:895.8709716796875, min Loss:720.558837890625
iteration 185000, accuracy:0.4605809128630705, max accuracy:0.5103734439834025, loss:746.2784423828125, min Loss:720.2982788085938
iteration 186000, accuracy:0.491701244813278, max accuracy:0.5103734439834025, loss:723.7598266601562, min Loss:716.5426635742188
iteration 187000, accuracy:0.3651452282157676, max accuracy:0.5103734439834025, loss:779.5521850585938, min Loss:714.9622802734375
iteration 188000, accuracy:0.475103734439834, max accuracy:0.5103734439834025, loss:854.1618041992188, min Loss:711.7439575195312
iteration 189000, accuracy:0.5103734439834025, max accuracy:0.5103734439834025, loss:722.4860229492188, min Loss:709.325439453125
iteration 190000, accuracy:0.42946058091286304, max accuracy:0.5103734439834025, loss:806.4561157226562, min Loss:709.325439453125
iteration 191000, accuracy:0.5062240663900415, max accuracy:0.5103734439834025, loss:731.4091186523438, min Loss:707.6168212890625
iteration 192000, accuracy:0.3153526970954357, max accuracy:0.5103734439834025, loss:776.0404052734375, min Loss:707.1248779296875
iteration 193000, accuracy:0.4190871369294606, max accuracy:0.5103734439834025, loss:733.0150146484375, min Loss:702.5946044921875
iteration 194000, accuracy:0.4045643153526971, max accuracy:0.5103734439834025, loss:935.629150390625, min Loss:700.6857299804688
iteration 195000, accuracy:0.4336099585062241, max accuracy:0.5103734439834025, loss:725.8286743164062, min Loss:698.4308471679688
iteration 196000, accuracy:0.4605809128630705, max accuracy:0.5103734439834025, loss:715.7348022460938, min Loss:698.4308471679688
iteration 197000, accuracy:0.495850622406639, max accuracy:0.5103734439834025, loss:729.8392333984375, min Loss:696.5464477539062
iteration 198000, accuracy:0.4066390041493776, max accuracy:0.5103734439834025, loss:712.877685546875, min Loss:694.101318359375
iteration 199000, accuracy:0.35269709543568467, max accuracy:0.5103734439834025, loss:731.40576171875, min Loss:694.0046997070312
iteration 200000, accuracy:0.3921161825726141, max accuracy:0.5103734439834025, loss:732.267822265625, min Loss:689.0358276367188
iteration 201000, accuracy:0.475103734439834, max accuracy:0.5103734439834025, loss:691.0133056640625, min Loss:684.19287109375
iteration 202000, accuracy:0.4149377593360996, max accuracy:0.5103734439834025, loss:705.8015747070312, min Loss:684.19287109375
iteration 203000, accuracy:0.3921161825726141, max accuracy:0.5103734439834025, loss:719.7273559570312, min Loss:683.5748291015625
iteration 204000, accuracy:0.3962655601659751, max accuracy:0.5103734439834025, loss:789.3606567382812, min Loss:683.0411987304688
iteration 205000, accuracy:0.4087136929460581, max accuracy:0.5103734439834025, loss:704.1253051757812, min Loss:679.9407348632812
iteration 206000, accuracy:0.4087136929460581, max accuracy:0.5103734439834025, loss:723.427490234375, min Loss:678.4005737304688
iteration 207000, accuracy:0.487551867219917, max accuracy:0.5103734439834025, loss:701.7349853515625, min Loss:675.5469970703125
