iteration 55000, accuracy:0.44315245478036175, max accuracy:0.4819121447028424, loss:553.7720336914062, min Loss:530.6038208007812
iteration 56000, accuracy:0.3798449612403101, max accuracy:0.4819121447028424, loss:535.5731811523438, min Loss:529.63427734375
iteration 57000, accuracy:0.43281653746770027, max accuracy:0.4819121447028424, loss:530.01025390625, min Loss:527.0824584960938
iteration 58000, accuracy:0.31266149870801035, max accuracy:0.4819121447028424, loss:544.8134765625, min Loss:523.6597290039062
iteration 59000, accuracy:0.41472868217054265, max accuracy:0.4819121447028424, loss:527.692626953125, min Loss:522.1415405273438
iteration 60000, accuracy:0.3488372093023256, max accuracy:0.4819121447028424, loss:530.3388061523438, min Loss:519.2965087890625
iteration 61000, accuracy:0.43410852713178294, max accuracy:0.4819121447028424, loss:519.4417724609375, min Loss:516.1932373046875
iteration 62000, accuracy:0.330749354005168, max accuracy:0.4819121447028424, loss:524.9718017578125, min Loss:514.149169921875
iteration 63000, accuracy:0.458656330749354, max accuracy:0.4819121447028424, loss:516.6053466796875, min Loss:512.1190795898438
iteration 64000, accuracy:0.4043927648578811, max accuracy:0.4819121447028424, loss:512.5196533203125, min Loss:509.2214660644531
iteration 65000, accuracy:0.31912144702842377, max accuracy:0.4819121447028424, loss:523.3397216796875, min Loss:507.50128173828125
iteration 66000, accuracy:0.28036175710594313, max accuracy:0.4819121447028424, loss:533.2212524414062, min Loss:503.80401611328125
iteration 67000, accuracy:0.417312661498708, max accuracy:0.4819121447028424, loss:507.2127990722656, min Loss:502.45855712890625
iteration 68000, accuracy:0.43023255813953487, max accuracy:0.4819121447028424, loss:516.99267578125, min Loss:500.54217529296875
iteration 69000, accuracy:0.31912144702842377, max accuracy:0.4819121447028424, loss:512.5773315429688, min Loss:497.66290283203125
iteration 70000, accuracy:0.36304909560723514, max accuracy:0.4819121447028424, loss:498.4767761230469, min Loss:497.07586669921875
iteration 71000, accuracy:0.39664082687338503, max accuracy:0.4819121447028424, loss:501.0026550292969, min Loss:494.4546813964844
