iteration 1000, accuracy:0.3881856540084388, max accuracy:0.3881856540084388, loss:1419.663330078125, min Loss:1419.663330078125
iteration 2000, accuracy:0.37834036568213786, max accuracy:0.3881856540084388, loss:1409.6331787109375, min Loss:1409.47119140625
iteration 3000, accuracy:0.3853727144866385, max accuracy:0.3881856540084388, loss:1393.8974609375, min Loss:1393.2635498046875
iteration 4000, accuracy:0.37834036568213786, max accuracy:0.3881856540084388, loss:1378.375244140625, min Loss:1378.375244140625
iteration 5000, accuracy:0.3980309423347398, max accuracy:0.3980309423347398, loss:1361.238525390625, min Loss:1359.8870849609375
iteration 6000, accuracy:0.4430379746835443, max accuracy:0.4430379746835443, loss:1343.7548828125, min Loss:1342.3372802734375
iteration 7000, accuracy:0.4360056258790436, max accuracy:0.4430379746835443, loss:1328.677978515625, min Loss:1328.2320556640625
iteration 8000, accuracy:0.42053445850914206, max accuracy:0.4430379746835443, loss:1310.097900390625, min Loss:1310.097900390625
iteration 9000, accuracy:0.4022503516174402, max accuracy:0.4430379746835443, loss:1293.03515625, min Loss:1292.2137451171875
iteration 10000, accuracy:0.39381153305203936, max accuracy:0.4430379746835443, loss:1285.9007568359375, min Loss:1276.5982666015625
iteration 11000, accuracy:0.42616033755274263, max accuracy:0.4430379746835443, loss:1264.67578125, min Loss:1259.989501953125
iteration 12000, accuracy:0.38959212376933894, max accuracy:0.4430379746835443, loss:1246.407470703125, min Loss:1245.7515869140625
iteration 13000, accuracy:0.4219409282700422, max accuracy:0.4430379746835443, loss:1232.925048828125, min Loss:1232.495361328125
iteration 14000, accuracy:0.39381153305203936, max accuracy:0.4430379746835443, loss:1226.8939208984375, min Loss:1218.5479736328125
iteration 15000, accuracy:0.44163150492264414, max accuracy:0.4430379746835443, loss:1208.9498291015625, min Loss:1206.724365234375
iteration 16000, accuracy:0.4289732770745429, max accuracy:0.4430379746835443, loss:1199.7218017578125, min Loss:1195.99169921875
iteration 17000, accuracy:0.43319268635724334, max accuracy:0.4430379746835443, loss:1186.8790283203125, min Loss:1185.546142578125
iteration 18000, accuracy:0.4177215189873418, max accuracy:0.4430379746835443, loss:1185.9693603515625, min Loss:1174.95556640625
iteration 19000, accuracy:0.44585091420534456, max accuracy:0.44585091420534456, loss:1167.789794921875, min Loss:1163.8370361328125
iteration 20000, accuracy:0.39662447257383965, max accuracy:0.44585091420534456, loss:1157.0198974609375, min Loss:1153.47607421875
iteration 21000, accuracy:0.369901547116737, max accuracy:0.44585091420534456, loss:1153.2257080078125, min Loss:1142.58740234375
